id,type,source,target
300527,/,54802,19678
300528,/,54802,40630
300529,/,54802,19680
300530,/,54802,97573
300531,/,54802,50221
300532,/,54802,54682
300533,/,54802,28408
300534,/,54802,19682
300535,/,54802,31411
300536,/,54802,43639
300537,/,54802,28892
300538,/,54802,19685
300539,/,54802,50711
300540,\,101027,54814
300541,/,127315,50256
300542,\,48267,30425
300543,\,56421,54863
300544,\,123179,54863
300545,\,52560,120752
300546,\,52611,120752
300547,\,56725,120752
300548,\,25810,120752
300549,/,120752,120727
300550,/,120752,28544
300551,/,120752,120730
300552,/,120752,46358
300553,/,120752,120732
300554,/,120752,120735
300555,/,120752,25811
300556,/,120752,25812
300557,/,120752,25813
300558,/,120752,99859
300559,/,120752,38087
300560,/,120752,99861
300561,/,120752,120748
300562,/,120752,25815
300563,/,120752,120750
300564,/,120752,25816
300565,/,120752,120751
300566,/,120752,120753
300567,/,120752,120757
300568,/,120752,25965
300569,/,54875,31765
300570,/,54875,46396
300571,/,54875,97819
300572,/,54875,50887
300573,/,54875,28742
300574,/,54875,55856
300575,/,54875,20609
300576,/,54875,39491
300577,/,54875,35735
300578,/,54880,97736
300579,\,131247,54887
300580,/,54923,26921
300581,/,54923,26922
300582,/,54923,100445
300583,/,54923,125810
300584,/,54923,125815
300585,/,54923,125828
300586,/,54923,26925
300587,/,54923,28372
300588,/,54923,125830
300589,/,54923,125831
300590,/,54923,125832
300591,/,54923,125833
300592,/,54923,43643
300593,/,54923,37841
300594,/,54923,100446
300595,/,54923,56045
300596,/,54923,125834
300597,/,54923,125836
300598,/,54923,125837
300599,/,54923,125839
300600,/,54923,26927
300601,/,54923,26928
300602,/,54923,125841
300603,/,54923,26930
300604,/,54923,26931
300605,/,54923,100447
300606,/,54923,26932
300607,/,54923,26933
300608,/,54923,41580
300609,\,34190,54924
300610,\,26500,54925
300611,/,54933,44808
300612,/,54961,109343
300613,\,19235,52880
300614,/,54994,99856
300615,\,19697,55020
300616,\,27118,100522
300617,\,27513,55063
300618,\,128702,55063
300619,\,128703,55063
300620,/,55085,52650
300621,/,55085,29161
300622,\,30817,55091
300623,/,55091,22051
300624,/,55102,49769
300625,/,55102,45251
300626,/,55102,53173
300627,/,55102,29644
300628,/,55102,52071
300629,/,55102,21344
300630,/,55102,21345
300631,/,55102,21346
300632,/,55103,99780
300633,/,55103,53348
286837,/,19147,132177
286838,/,19147,132766
286839,/,19150,132177
286840,/,19150,132766
286841,/,19400,132194
286842,/,19576,132219
286843,/,19913,132550
286844,/,20391,132281
286845,/,20417,132282
286846,/,20440,132283
286847,/,20540,132831
286848,/,20826,132293
286849,/,20908,132295
286850,/,21079,132307
286851,/,21181,132323
286852,/,21303,132360
286853,/,21522,132366
286854,/,23245,132481
286855,/,23249,132481
286856,/,23516,132490
286857,/,23672,132498
286858,/,23693,132500
286859,/,23693,132501
286860,/,23851,132507
286861,/,23856,132508
286862,/,23857,132508
286863,/,24153,132487
286864,/,24476,132539
286865,/,24532,132541
286866,/,24549,132543
286867,/,24575,132544
286868,/,24594,132545
286869,/,24838,132559
286870,/,25009,132572
286871,/,25016,132569
286872,/,25018,132569
286873,/,25075,132576
286874,/,25118,132581
286875,/,25266,132589
286876,/,25274,133027
286877,/,25277,133027
286878,/,25281,133027
286879,/,25307,132590
286880,/,25308,132590
286881,/,25434,132598
286882,/,25459,132603
286883,/,99724,132609
286884,/,25674,132618
286885,/,25675,132618
286886,/,25748,132622
286887,/,25768,132624
286889,/,25796,132618
286890,/,25926,132637
286891,/,25989,132641
286892,/,26012,132618
286893,/,26038,132643
286894,/,26256,132659
286895,/,26292,132668
286896,/,26513,133092
286897,/,26666,132687
286898,/,26860,133114
286899,/,26879,132705
286900,/,27116,132717
286901,/,27391,132725
286902,/,27694,132741
286903,/,27694,132742
286904,/,27894,132750
286905,/,27895,132750
286906,/,28026,132760
286907,/,101097,133170
286908,/,28114,133176
286909,/,28150,133180
286910,/,28190,132765
286911,/,19111,53399
286912,\,19111,19112
286913,/,19114,20190
286914,/,19114,20338
286915,\,101369,19116
286916,\,46918,19119
286917,/,19122,57175
286918,\,49643,19125
286919,/,19126,36336
286920,/,19126,44176
286921,/,19126,45879
286922,/,19126,37211
286923,/,19126,38253
286924,/,19126,28805
286925,/,19126,35398
286926,/,19126,41905
286927,/,19126,19127
286928,\,44176,19127
286929,\,37211,19127
286930,\,38253,19127
286931,\,28805,19127
286932,\,41905,19127
286933,/,19128,19129
286934,/,19129,19128
286935,\,30107,19130
286936,\,101398,19133
286937,\,101399,19133
286938,\,19135,19134
286939,\,101401,19134
286940,\,19137,19134
286941,/,19135,101401
286942,/,19135,101402
286943,/,19135,19137
